case,2023-10-20T23:30:34.755742,2023-10-21T00:38:13.160663,2023-10-21T00:42:49.956543,2023-10-21T00:50:08.428110,2023-10-21T01:17:21.760157,2023-10-21T01:21:32.438044,2023-10-21T01:50:36.630387,2023-10-21T01:54:26.281402,2023-10-21T01:57:51.652721,2023-10-21T02:01:48.867771,2023-10-21T02:05:03.877950,2023-10-21T02:14:35.367278,2023-10-21T02:18:43.473352,2023-10-21T02:20:40.484872,2023-10-21T02:22:41.002817,2023-10-21T10:31:06.980853,2023-10-21T10:34:36.903757,2023-10-21T10:36:26.601112,2023-10-21T10:38:10.737221,2023-10-21T10:40:09.883808,2023-10-21T10:59:16.680439,2023-10-21T11:01:53.521567,2023-10-21T11:04:01.328806,2023-10-21T11:06:37.147415,2023-10-21T11:09:24.767237,2023-10-21T11:12:29.737628,2023-10-21T11:14:48.765113,2023-10-21T11:33:17.839442,2023-10-21T11:45:56.215101,2023-10-21T11:48:29.697132,2023-10-21T11:51:51.357325,2023-10-21T11:54:56.600191,2023-10-21T13:53:18.558109,2023-10-21T14:46:49.321917,2023-10-21T15:29:00.068713,2023-10-21T15:59:28.617047,2023-10-21T16:04:08.523130,2023-10-21T16:27:26.583949
0341.txt,875578,1949713,1949713,28716062,875578,20011180,7754944,10352381,6433023,3307819,4262945,9378882,3923915,3313985,9378882,9378882,2187775,9378882,9378882,9378882,9378882,9378882,9378882,9378882,9378882,9378882,9378882,11656806,3848536,722294,722294,722294,768302,722294,722294,722294.0,722294.0,722294.0
0342.txt,178751,28551,178751,48145851,28551,28551,67851,61151,234351,26951,136351,14551,11051,140651,14551,14551,172251,51051,174851,14551,12851,14551,12851,14551,12851,14551,14551,14551,9587751,13451,13451,13451,13451,13451,13451,13451.0,13451.0,13451.0
0343.txt,365678,365678,365678,86485133,365678,28390959,2737755,3924511,665756,607398,410438,371542,403850,238026,371542,371542,260635,456248,473482,371542,371542,371542,371542,371542,371542,371542,371542,371542,1822460,2171113,2171113,2171113,2566796,2171113,2171113,2171113.0,2171113.0,2171113.0
0344.txt,1644028,1527704,1527704,31963252,1644028,21881755,984060,6093894,1077175,503543,1797696,2462360,1809729,178859,2462360,2253869,1746237,1859192,728724,2253869,2247767,2289667,2253869,2253869,2253869,2253869,2253869,2253869,1648773,1025181,1025181,1025181,1680955,1025181,1025181,1025181.0,1025181.0,1025181.0
0345.txt,3240137,1524925,1524925,10246202,3240137,23392572,3398463,4190411,1826990,2192158,1326212,9517801,4520846,5750503,9517801,9517801,4469853,9517801,9517801,9517801,9517801,9517801,9517801,9517801,9517801,9517801,9517801,1240646,4947092,1897796,1897796,1897796,1897796,1897796,1897796,1897796.0,1897796.0,1897796.0
0346.txt,1313191,5773386,13066431,65648037,1171352,1171352,3151846,925776,725168,566651,644855,1133992,1879396,1062419,1133992,1133992,573585,546767,375410,1133992,1133992,1133992,1133992,1133992,1133992,1133992,1133992,1133992,2680319,1494362,1494362,1494362,1878799,1494362,1494362,1494362.0,1494362.0,1494362.0
0347.txt,839048,839048,839048,60188580,839048,21215792,390921,5625970,1253842,2115772,1602493,738475,127548,207700,738475,738475,2441500,692326,692326,738475,738475,738475,738475,738475,738475,738475,738475,1626168,6542215,743204,743204,743204,772278,743204,743204,743204.0,743204.0,743204.0
0348.txt,2126736,2126736,2126736,43803687,2126736,2712549,2726939,1830885,3267532,5196150,4133017,2630794,3726561,2339304,2630794,2630794,2205579,2320145,2630794,2630794,2630794,2630794,2630794,2630794,2630794,2630794,2630794,2630794,4337799,1571987,1571987,1571987,1715651,1571987,1571987,1571987.0,1571987.0,1571987.0
0349.txt,5622790,3145455,3145455,28313979,5622790,12034324,4089028,7271985,4018904,4849982,4731783,8214129,2975083,4536851,8214129,8214129,12026216,8214129,8214129,8214129,8214129,8214129,8214129,8214129,8214129,8214129,8214129,3629919,6680226,1316843,1316843,1316843,1463573,1316843,1316843,1316843.0,1316843.0,1316843.0
0350.txt,363070,1512778,1512778,12718873,363070,36763148,128321,900337,340297,31052,84594,237072,1206700,578179,237072,237072,378031,384250,580510,237072,237072,237072,237072,237072,237072,237072,237072,849766,2718989,79658,79658,79658,79658,79658,79658,79658.0,79658.0,79658.0
0351.txt,3223857,3497340,3497340,22072096,3223857,15588162,10882110,12400041,10631841,10594547,5848474,3132093,4813244,8175461,3132093,3132093,3206224,3132093,3132093,3132093,3132093,3132093,3132093,3132093,3132093,3132093,3132093,4787791,5735532,1707108,1707108,1707108,1707108,1707108,1707108,1707108.0,1707108.0,1707108.0
0352.txt,916735,912212,912212,41383849,916735,24762239,598542,1771989,336064,757434,433860,612139,1901241,1210029,562890,562890,602822,492041,410592,562890,550339,550339,612139,526006,612139,562890,612139,562890,1251110,1362396,1362396,1362396,1617309,1362396,1362396,1362396.0,1362396.0,1362396.0
0353.txt,573016,666256,573016,32779897,573016,13291233,713906,653344,2033633,1171810,836371,471650,1574374,424419,471650,542394,697208,729018,1665221,1629692,542394,528818,542394,528818,528818,528818,542394,542394,764784,1721089,1721089,1721089,2423394,1721089,2112461,2589409.0,3004269.0,1726280.0
